name|rarity|equid_slot|defense|fire_res|water_res|ice_res|thunder_res|dragon_res|slot_count|slot_1_size|slot_2_size|slot_3_size|set_skill_1|skill_1|skill_1_level|skill_2|skill_2_level|skill_3|skill_3_level
Pulverizing Feather|4|Head|32|0|0|0|0|0|0|0|0|0|0: --------|88: Bombardier|3|0: --------|0|0: --------|0
Leather Headgear α|5|Head|32|2|0|0|0|0|0|0|0|0|0: --------|77: Hunger Resistance|2|0: --------|0|0: --------|0
Leather Headgear β|5|Head|32|2|0|0|0|0|1|1|0|0|0: --------|77: Hunger Resistance|1|0: --------|0|0: --------|0
Chainmail Headgear α|5|Head|32|0|2|0|0|0|0|0|0|0|0: --------|94: Master Gatherer|1|80: Guard|1|0: --------|0
Chainmail Headgear β|5|Head|32|0|2|0|0|0|1|1|0|0|0: --------|94: Master Gatherer|1|0: --------|0|0: --------|0
Hunter's Headgear α|5|Head|36|2|2|0|0|0|0|0|0|0|0: --------|105: Scoutfly Range Up|1|114: Scholar|1|0: --------|0
Hunter's Headgear β|5|Head|36|2|2|0|0|0|1|1|0|0|0: --------|105: Scoutfly Range Up|1|0: --------|0|0: --------|0
Bone Helm α|5|Head|36|2|0|0|2|2|0|0|0|0|0: --------|21: Health Boost|1|115: Entomologist|1|0: --------|0
Bone Helm β|5|Head|36|2|0|0|2|2|1|1|0|0|0: --------|21: Health Boost|1|0: --------|0|0: --------|0
Alloy Helm α|5|Head|36|-2|0|-2|-2|0|0|0|0|0|0: --------|12: Windproof|1|20: Defense Boost|1|0: --------|0
Alloy Helm β|5|Head|36|-2|0|-2|-2|0|1|1|0|0|0: --------|12: Windproof|1|0: --------|0|0: --------|0
Vespoid Helm α|5|Head|38|-2|1|1|1|2|0|0|0|0|0: --------|81: Quick Sheath|1|36: Paralysis Attack|1|0: --------|0
Vespoid Helm β|5|Head|38|-2|1|1|1|2|1|1|0|0|0: --------|81: Quick Sheath|1|0: --------|0|0: --------|0
Hornetaur Helm α|5|Head|38|-1|-1|0|0|2|0|0|0|0|0: --------|14: Dungmaster|1|34: Dragon Attack|1|0: --------|0
Hornetaur Helm β|5|Head|38|-1|-1|0|0|2|1|1|0|0|0: --------|14: Dungmaster|1|0: --------|0|0: --------|0
Shamos Goggles α|5|Head|40|2|2|-3|0|0|0|0|0|0|0: --------|119: Detector|1|100: Geologist|1|0: --------|0
Shamos Goggles β|5|Head|40|2|2|-3|0|0|1|1|0|0|0: --------|119: Detector|1|0: --------|0|0: --------|0
Jagras Helm α|5|Head|40|-2|2|-1|-1|1|0|0|0|0|0: --------|85: Speed Eating|2|0: --------|0|0: --------|0
Jagras Helm β|5|Head|40|-2|2|-1|-1|1|1|1|0|0|0: --------|85: Speed Eating|1|0: --------|0|0: --------|0
Kulu Headpiece α|5|Head|40|0|-3|1|0|0|0|0|0|0|0: --------|24: Fire Resistance|1|50: Weakness Exploit|1|0: --------|0
Kulu Headpiece β|5|Head|40|0|-3|1|0|0|2|1|1|0|0: --------|24: Fire Resistance|1|0: --------|0|0: --------|0
Pukei Hood α|5|Head|42|0|3|0|-3|1|0|0|0|0|0: --------|108: Survival Expert|2|0: --------|0|0: --------|0
Pukei Hood β|5|Head|42|0|3|0|-3|1|2|1|1|0|0: --------|108: Survival Expert|1|0: --------|0|0: --------|0
Barroth Helm α|5|Head|42|-3|-1|-1|3|0|0|0|0|0|0: --------|80: Guard|2|0: --------|0|0: --------|0
Barroth Helm β|5|Head|42|-3|-1|-1|3|0|1|1|0|0|0: --------|80: Guard|1|0: --------|0|0: --------|0
Jyura Helm α|5|Head|44|-1|2|0|-3|0|0|0|0|0|0: --------|109: Aquatic/Polar Mobility|2|0: --------|0|0: --------|0
Jyura Helm β|5|Head|44|-1|2|0|-3|0|1|1|0|0|0: --------|109: Aquatic/Polar Mobility|1|0: --------|0|0: --------|0
Kadachi Helm α|5|Head|44|0|-3|0|3|0|0|0|0|0|0: --------|74: Constitution|2|0: --------|0|0: --------|0
Kadachi Helm β|5|Head|44|0|-3|0|3|0|1|2|0|0|0: --------|74: Constitution|1|0: --------|0|0: --------|0
Anja Helm α|5|Head|44|3|-3|-1|-1|0|0|0|0|0|132: Anjanath Will|30: Fire Attack|2|24: Fire Resistance|1|0: --------|0
Anja Helm β|5|Head|44|3|-3|-1|-1|0|1|2|0|0|132: Anjanath Will|30: Fire Attack|2|0: --------|0|0: --------|0
Rathian Helm α|5|Head|46|2|0|0|-2|-3|0|0|0|0|0: --------|21: Health Boost|2|35: Poison Attack|1|0: --------|0
Rathian Helm β|5|Head|46|2|0|0|-2|-3|1|1|0|0|0: --------|21: Health Boost|1|35: Poison Attack|1|0: --------|0
Tzitzi Headgear α|5|Head|40|0|0|-2|-3|0|0|0|0|0|0: --------|112: Blindsider|1|4: Stun Resistance|1|0: --------|0
Tzitzi Headgear β|5|Head|40|0|0|-2|-3|0|1|1|0|0|0: --------|112: Blindsider|1|0: --------|0|0: --------|0
Lumu Hat α|5|Head|44|-3|2|1|0|0|0|0|0|0|0: --------|76: Stamina Surge|2|0: --------|0|0: --------|0
Lumu Hat β|5|Head|44|-3|2|1|0|0|1|2|0|0|0: --------|76: Stamina Surge|1|0: --------|0|0: --------|0
Girros Mask α|5|Head|40|0|-3|0|2|1|0|0|0|0|0: --------|68: Horn Maestro|1|2: Paralysis Resistance|1|0: --------|0
Girros Mask β|5|Head|40|0|-3|0|2|1|1|1|0|0|0: --------|68: Horn Maestro|1|0: --------|0|0: --------|0
Baan Helm α|6|Head|46|0|2|-1|0|-2|0|0|0|0|0: --------|13: Tremor Resistance|2|0: --------|0|0: --------|0
Baan Helm β|6|Head|46|0|2|-1|0|-2|1|2|0|0|0: --------|13: Tremor Resistance|1|0: --------|0|0: --------|0
High Metal Helm α|6|Head|50|0|-1|3|-2|0|0|0|0|0|0: --------|26: Ice Resistance|2|11: Earplugs|1|0: --------|0
High Metal Helm β|6|Head|50|0|-1|3|-2|0|1|2|0|0|0: --------|26: Ice Resistance|2|0: --------|0|0: --------|0
Ingot Helm α|6|Head|50|-2|0|-1|3|0|0|0|0|0|0: --------|33: Thunder Attack|2|0: --------|0|0: --------|0
Ingot Helm β|6|Head|50|-2|0|-1|3|0|1|1|0|0|0: --------|33: Thunder Attack|1|0: --------|0|0: --------|0
Gastodon Horn α|5|Head|48|3|0|0|0|0|0|0|0|0|0: --------|104: Flinch Free|1|6: Blast Resistance|1|0: --------|0
Gastodon Horn β|5|Head|48|3|0|0|0|0|1|1|0|0|0: --------|104: Flinch Free|1|0: --------|0|0: --------|0
Rath Heart Helm α|6|Head|52|3|0|0|-3|-4|0|0|0|0|131: Pink Rathian Mastery|79: Evade Extender|1|35: Poison Attack|1|0: --------|0
Rath Heart Helm β|6|Head|52|3|0|0|-3|-4|1|2|0|0|131: Pink Rathian Mastery|79: Evade Extender|1|0: --------|0|0: --------|0
Legiana Helm α|6|Head|54|-1|2|3|-3|0|0|0|0|0|152: Legiana Favor|97: Divine Blessing|2|32: Ice Attack|1|0: --------|0
Legiana Helm β|6|Head|54|-1|2|3|-3|0|1|1|0|0|152: Legiana Favor|97: Divine Blessing|2|0: --------|0|0: --------|0
Odogaron Helm α|6|Head|54|2|2|-3|-2|0|0|0|0|0|154: Odogaron Mastery|7: Bleeding Resistance|2|48: Critical Eye|1|0: --------|0
Odogaron Helm β|6|Head|54|2|2|-3|-2|0|1|2|0|0|154: Odogaron Mastery|7: Bleeding Resistance|2|0: --------|0|0: --------|0
Rathalos Helm α|6|Head|54|3|1|1|-2|-3|0|0|0|0|135: Rathalos Mastery|19: Attack Boost|2|30: Fire Attack|1|0: --------|0
Rathalos Helm β|6|Head|54|3|1|1|-2|-3|1|1|0|0|135: Rathalos Mastery|19: Attack Boost|2|0: --------|0|0: --------|0
Rath Soul Helm α|7|Head|56|3|2|-3|2|-4|0|0|0|0|135: Rathalos Mastery|49: Critical Boost|1|124: Intimidator|2|0: --------|0
Rath Soul Helm β|7|Head|56|3|2|-3|2|-4|2|1|1|0|135: Rathalos Mastery|49: Critical Boost|1|0: --------|0|0: --------|0
Diablos Helm α|6|Head|54|3|-2|-3|0|2|0|0|0|0|136: Diablos Mastery|55: Critical Draw|2|64: Heroics|1|0: --------|0
Diablos Helm β|6|Head|54|3|-2|-3|0|2|1|2|0|0|136: Diablos Mastery|55: Critical Draw|2|0: --------|0|0: --------|0
Diablos Nero Helm α|7|Head|56|2|-3|-4|0|2|1|1|0|0|136: Diablos Mastery|52: Focus|2|0: --------|0|0: --------|0
Diablos Nero Helm β|7|Head|56|2|-3|-4|0|2|1|3|0|0|136: Diablos Mastery|52: Focus|1|0: --------|0|0: --------|0
Dodogama Helm α|5|Head|48|2|0|0|-3|2|0|0|0|0|0: --------|6: Blast Resistance|2|0: --------|0|0: --------|0
Dodogama Helm β|5|Head|48|2|0|0|-3|2|1|1|0|0|0: --------|6: Blast Resistance|1|0: --------|0|0: --------|0
Lavasioth Helm α|6|Head|56|3|-3|-2|1|2|0|0|0|0|0: --------|30: Fire Attack|2|81: Quick Sheath|1|0: --------|0
Lavasioth Helm β|6|Head|56|3|-3|-2|1|2|2|1|1|0|0: --------|30: Fire Attack|1|81: Quick Sheath|1|0: --------|0
Uragaan Helm α|7|Head|60|4|-3|-2|1|-2|1|3|0|0|138: Uragaan Protection|27: Thunder Resistance|2|0: --------|0|0: --------|0
Uragaan Helm β|7|Head|60|4|-3|-2|1|-2|2|3|1|0|138: Uragaan Protection|27: Thunder Resistance|1|0: --------|0|0: --------|0
Nergigante Helm α|8|Head|64|1|1|1|-3|-3|1|1|0|0|126: Nergigante Hunger|101: Maximum Might|2|19: Attack Boost|1|0: --------|0
Nergigante Helm β|8|Head|64|1|1|1|-3|-3|2|1|1|0|126: Nergigante Hunger|101: Maximum Might|2|0: --------|0|0: --------|0
King Beetle Vertex α|5|Head|42|-1|-1|0|2|2|0|0|0|0|0: --------|78: Evade Window|2|99: Botanist|1|0: --------|0
King Beetle Vertex β|5|Head|42|-1|-1|0|2|2|1|1|0|0|0: --------|78: Evade Window|2|0: --------|0|0: --------|0
Butterfly Vertex α|5|Head|42|-1|-1|0|2|2|0|0|0|0|0: --------|78: Evade Window|2|99: Botanist|1|0: --------|0
Butterfly Vertex β|5|Head|42|-1|-1|0|2|2|1|1|0|0|0: --------|78: Evade Window|2|0: --------|0|0: --------|0
Brigade Lobos α|6|Head|52|1|0|0|2|2|0|0|0|0|0: --------|23: Recovery Speed|2|68: Horn Maestro|1|0: --------|0
Brigade Lobos β|6|Head|52|1|0|0|2|2|1|1|0|0|0: --------|23: Recovery Speed|2|0: --------|0|0: --------|0
Damascus Helm α|7|Head|60|4|-2|0|0|0|1|1|0|0|0: --------|20: Defense Boost|2|86: Speed Sharpening|1|0: --------|0
Damascus Helm β|7|Head|60|4|-2|0|0|0|1|3|0|0|0: --------|20: Defense Boost|2|0: --------|0|0: --------|0
Dober Helm α|7|Head|60|-2|0|-1|-1|4|0|0|0|0|0: --------|47: Free Elem/Ammo Up|1|28: Dragon Resistance|1|0: --------|0
Dober Helm β|7|Head|60|-2|0|-1|-1|4|1|1|0|0|0: --------|47: Free Elem/Ammo Up|1|0: --------|0|0: --------|0
Kushala Glare α|8|Head|64|0|2|4|-3|-2|0|0|0|0|144: Kushala Daora Flight|32: Ice Attack|2|54: Handicraft|1|0: --------|0
Kushala Glare β|8|Head|64|0|2|4|-3|-2|3|1|1|1|144: Kushala Daora Flight|32: Ice Attack|2|0: --------|0|0: --------|0
Kaiser Crown α|8|Head|64|3|-3|-3|1|1|0|0|0|0|143: Teostra Technique|61: Latent Power|2|0: --------|0|0: --------|0
Kaiser Crown β|8|Head|64|3|-3|-3|1|1|1|2|0|0|143: Teostra Technique|61: Latent Power|1|0: --------|0|0: --------|0
Kirin Horn α|8|Head|64|-3|-2|-2|4|2|0|0|0|0|137: Kirin Favor|73: Marathon Runner|2|97: Divine Blessing|1|0: --------|0
Kirin Horn β|8|Head|64|-3|-2|-2|4|2|1|1|0|0|137: Kirin Favor|73: Marathon Runner|2|0: --------|0|0: --------|0
Vaal Hazak Helm α|8|Head|64|-4|4|-1|1|-3|0|0|0|0|127: Vaal Hazak Vitality|63: Peak Performance|1|34: Dragon Attack|2|0: --------|0
Vaal Hazak Helm β|8|Head|64|-4|4|-1|1|-3|1|1|0|0|127: Vaal Hazak Vitality|63: Peak Performance|1|0: --------|0|0: --------|0
Bazel Helm α|7|Head|58|3|1|-2|-4|-2|1|2|0|0|142: Bazelgeuse Protection|11: Earplugs|2|38: Blast Attack|1|0: --------|0
Bazel Helm β|7|Head|58|3|1|-2|-4|-2|2|3|1|0|142: Bazelgeuse Protection|11: Earplugs|2|0: --------|0|0: --------|0
Death Stench Brain α|7|Head|62|3|2|3|-2|-4|1|2|0|0|0: --------|67: Resuscitate|1|48: Critical Eye|1|0: --------|0
Death Stench Brain β|7|Head|62|3|2|3|-2|-4|1|3|0|0|0: --------|67: Resuscitate|1|0: --------|0|0: --------|0
Guild Cross Circlet α|8|Head|62|0|0|0|0|0|1|1|0|0|149: Guild Guidance|97: Divine Blessing|2|27: Thunder Resistance|2|0: --------|0
Guild Cross Circlet β|8|Head|62|0|0|0|0|0|3|1|1|1|149: Guild Guidance|97: Divine Blessing|2|0: --------|0|0: --------|0
Skull Mask α|7|Head|64|-3|-1|-1|-1|2|1|2|0|0|0: --------|54: Handicraft|1|0: --------|0|0: --------|0
Faux Felyne α|6|Head|56|2|2|2|2|2|0|0|0|0|0: --------|98: Palico Rally|3|0: --------|0|0: --------|0
Mosswine Mask α|5|Head|40|2|2|2|2|2|0|0|0|0|0: --------|90: Mushroomancer|2|0: --------|0|0: --------|0
Dragonseal Earrings α|7|Head|60|0|0|0|0|0|0|0|0|0|0: --------|123: Elderseal Boost|1|0: --------|0|0: --------|0
Strategist Spectacles α|6|Head|56|2|2|2|2|2|1|1|0|0|0: --------|48: Critical Eye|2|0: --------|0|0: --------|0
Dragonking Eyepatch α|8|Head|70|0|0|0|0|0|1|3|0|0|0: --------|50: Weakness Exploit|2|0: --------|0|0: --------|0
Xeno'jiiva Headgear α|8|Head|72|-3|2|2|2|-4|1|1|0|0|145: Xeno'jiiva Divinity|104: Flinch Free|1|70: Special Ammo Boost|1|0: --------|0
Xeno'jiiva Headgear β|8|Head|72|-3|2|2|2|-4|1|2|0|0|145: Xeno'jiiva Divinity|104: Flinch Free|1|0: --------|0|0: --------|0
Zorah Headgear α|6|Head|44|4|-3|-2|-1|-3|0|0|0|0|147: Zorah Magdaros Mastery|54: Handicraft|1|38: Blast Attack|1|0: --------|0
Zorah Headgear β|6|Head|44|4|-3|-2|-1|-3|1|1|0|0|147: Zorah Magdaros Mastery|54: Handicraft|1|0: --------|0|0: --------|0
Commission Gorget α|8|Head|70|2|2|2|2|2|1|1|0|0|150: Commission Guidance|120: Tool Specialist|1|94: Master Gatherer|1|0: --------|0
Commission Gorget β|8|Head|70|2|2|2|2|2|1|2|0|0|150: Commission Guidance|120: Tool Specialist|1|0: --------|0|0: --------|0
Origin Helm|1|Head|6|0|0|0|0|0|0|0|0|0|0: --------|118: Forager's Luck|1|0: --------|0|0: --------|0
Kulve Taroth's Fury α|8|Head|72|4|-2|-4|3|-2|1|1|0|0|0: --------|47: Free Elem/Ammo Up|1|62: Agitator|2|0: --------|0
Kulve Taroth's Fury β|8|Head|72|4|-2|-4|3|-2|2|2|1|0|0: --------|47: Free Elem/Ammo Up|1|62: Agitator|1|0: --------|0
Blossom Headgear|3|Head|18|1|1|1|4|1|0|0|0|0|0: --------|95: Honey Hunter|1|0: --------|0|0: --------|0
Diver's Mask|3|Head|22|1|4|1|1|1|0|0|0|0|0: --------|73: Marathon Runner|1|0: --------|0|0: --------|0
Harvest Flor|3|Head|26|4|1|1|1|1|0|0|0|0|0: --------|52: Focus|1|0: --------|0|0: --------|0
Orion Cap|4|Head|30|1|1|4|1|1|0|0|0|0|0: --------|22: Recovery Up|1|0: --------|0|0: --------|0
Gala Suit Top Hat|4|Head|34|1|1|1|1|4|0|0|0|0|168: Astera Blessing|49: Critical Boost|1|0: --------|0|0: --------|0
Vangis Helm α|7|Head|58|1|1|2|-3|-3|1|1|0|0|0: --------|56: Partbreaker|1|54: Handicraft|1|0: --------|0
Vangis Helm β|7|Head|58|1|1|2|-3|-3|2|3|1|0|0: --------|56: Partbreaker|1|0: --------|0|0: --------|0
Drachen Armet α|8|Head|72|-2|-2|-2|3|4|2|3|1|0|164: Soul of the Dragoon|49: Critical Boost|1|60: Airborne|1|0: --------|0
Blossom Headgear α|5|Head|40|1|1|1|4|1|2|1|1|0|0: --------|95: Honey Hunter|1|0: --------|0|0: --------|0
Diver's Mask α|5|Head|46|1|4|1|1|1|1|2|0|0|0: --------|73: Marathon Runner|1|0: --------|0|0: --------|0
Harvest Flor α|6|Head|52|4|1|1|1|1|2|2|1|0|0: --------|52: Focus|1|0: --------|0|0: --------|0
Orion Cap α|6|Head|58|1|1|4|1|1|2|3|1|0|0: --------|22: Recovery Up|1|0: --------|0|0: --------|0
Gala Suit Top Hat α|7|Head|64|1|1|1|1|4|3|2|1|1|168: Astera Blessing|49: Critical Boost|1|0: --------|0|0: --------|0
Butterfly Vertex|3|Head|22|-1|-1|0|2|2|0|0|0|0|0: --------|4: Stun Resistance|1|0: --------|0|0: --------|0
Butterfly Vertex α|5|Head|42|-1|-1|0|2|2|1|1|0|0|0: --------|4: Stun Resistance|2|20: Defense Boost|1|0: --------|0
Butterfly Vertex β|5|Head|42|-1|-1|0|2|2|1|2|0|0|0: --------|4: Stun Resistance|2|0: --------|0|0: --------|0
Queen Beetle Vertex|3|Head|22|-1|-1|0|2|2|0|0|0|0|0: --------|4: Stun Resistance|1|0: --------|0|0: --------|0
Queen Beetle Vertex α|5|Head|42|-1|-1|0|2|2|1|1|0|0|0: --------|4: Stun Resistance|2|20: Defense Boost|1|0: --------|0
Queen Beetle Vertex β|5|Head|42|-1|-1|0|2|2|1|2|0|0|0: --------|4: Stun Resistance|2|0: --------|0|0: --------|0
Vaal Hazak Helm γ|8|Head|72|-4|4|-1|1|-3|1|3|0|0|127: Vaal Hazak Vitality|22: Recovery Up|2|34: Dragon Attack|1|0: --------|0
Kirin Horn γ|8|Head|72|-3|-2|-2|4|2|1|2|0|0|137: Kirin Favor|29: Blight Resistance|1|33: Thunder Attack|3|0: --------|0
Kaiser Crown γ|8|Head|72|3|-3|-3|1|1|2|2|2|0|143: Teostra Technique|48: Critical Eye|2|0: --------|0|0: --------|0
Kushala Glare γ|8|Head|72|0|2|4|-3|-2|1|2|0|0|144: Kushala Daora Flight|54: Handicraft|2|0: --------|0|0: --------|0
Nergigante Helm γ|8|Head|72|1|1|1|-3|-3|2|2|2|0|126: Nergigante Hunger|76: Stamina Surge|1|62: Agitator|1|0: --------|0
Zorah Headgear γ|8|Head|72|4|-3|-2|-1|-3|1|2|0|0|147: Zorah Magdaros Mastery|12: Windproof|2|48: Critical Eye|2|0: --------|0
Xeno'jiiva Headgear γ|8|Head|72|-3|2|2|2|-4|3|2|1|1|145: Xeno'jiiva Divinity|29: Blight Resistance|2|53: Power Prolonger|1|0: --------|0
HARDUMMY|5|Head|46|1|1|1|1|1|1|3|0|0|132: Anjanath Will|122: Affinity Sliding|1|0: --------|0|0: --------|0
Ryu's Head|2|Head|12|2|0|-3|5|2|0|0|0|0|0: --------|19: Attack Boost|1|0: --------|0|0: --------|0
Ryu's Head α|7|Head|60|2|0|-3|5|2|2|1|1|0|135: Rathalos Mastery|19: Attack Boost|1|74: Constitution|1|0: --------|0
Sakura's Head α|6|Head|50|0|4|4|0|-2|2|1|1|0|131: Pink Rathian Mastery|19: Attack Boost|1|78: Evade Window|1|0: --------|0
Azure Starlord Crown α|7|Head|56|2|2|0|0|3|1|3|0|0|135: Rathalos Mastery|62: Agitator|1|0: --------|0|0: --------|0
Dante's Hair α|8|Head|64|3|-3|-3|3|3|1|1|0|0|0: --------|50: Weakness Exploit|1|48: Critical Eye|1|0: --------|0
Empress Crown α|8|Head|70|3|1|-3|1|-2|2|3|1|0|163: Lunastra Favor|79: Evade Extender|2|120: Tool Specialist|1|0: --------|0
Empress Crown β|8|Head|70|3|1|-3|1|-2|2|3|2|0|163: Lunastra Favor|79: Evade Extender|2|0: --------|0|0: --------|0
Sealed Eyepatch α|5|Head|46|3|2|2|0|0|2|2|1|0|0: --------|24: Fire Resistance|1|0: --------|0|0: --------|0
Shadow Shades α|5|Head|46|4|0|2|4|0|3|1|1|1|0: --------|4: Stun Resistance|1|0: --------|0|0: --------|0
Kulu-Ya-Ku Head α|5|Head|46|2|0|3|2|2|2|3|1|0|0: --------|93: Pro Transporter|1|0: --------|0|0: --------|0
Wiggler Head α|5|Head|46|0|4|0|0|4|2|1|1|0|0: --------|82: Wide-Range|2|0: --------|0|0: --------|0
dummy013|1|Head|2|0|0|0|0|0|0|0|0|0|0: --------|0: --------|0|0: --------|0|0: --------|0
HARDUMMY|8|Head|64|1|1|1|1|1|1|3|0|0|132: Anjanath Will|49: Critical Boost|2|0: --------|0|0: --------|0
Empress Crown γ|8|Head|70|3|1|-3|1|-2|3|1|1|1|163: Lunastra Favor|82: Wide-Range|2|63: Peak Performance|1|0: --------|0
Geralt's Head α|8|Head|70|2|1|-1|-2|3|2|1|1|0|167: Witcher's Knowledge|50: Weakness Exploit|2|23: Recovery Speed|1|0: --------|0
Ciri's Head α|8|Head|70|-2|-1|1|2|3|3|3|1|1|0: --------|47: Free Elem/Ammo Up|1|78: Evade Window|1|0: --------|0
Kulve Taroth's Fury γ|8|Head|72|4|-2|-4|3|-2|3|3|1|1|0: --------|53: Power Prolonger|1|4: Stun Resistance|1|0: --------|0
Defender Helm α|6|Head|50|2|0|2|0|3|1|1|0|0|0: --------|22: Recovery Up|2|21: Health Boost|1|0: --------|0
Bone Helm α+|9|Head|114|2|0|0|2|2|1|3|0|0|0: --------|21: Health Boost|2|56: Partbreaker|1|0: --------|0
Bone Helm β+|9|Head|114|2|0|0|2|2|1|4|0|0|0: --------|21: Health Boost|1|56: Partbreaker|1|0: --------|0
Alloy Helm α+|9|Head|114|-2|0|-2|-2|0|1|2|0|0|0: --------|12: Windproof|2|20: Defense Boost|1|0: --------|0
Alloy Helm β+|9|Head|114|-2|0|-2|-2|0|2|4|1|0|0: --------|12: Windproof|1|0: --------|0|0: --------|0
Vespoid Helm α+|9|Head|116|-2|1|1|1|2|1|3|0|0|0: --------|81: Quick Sheath|1|36: Paralysis Attack|1|0: --------|0
Vespoid Helm β+|9|Head|116|-2|1|1|1|2|2|4|1|0|0: --------|81: Quick Sheath|1|0: --------|0|0: --------|0
Hornetaur Helm α+|9|Head|116|-1|-1|0|0|2|1|2|0|0|0: --------|50: Weakness Exploit|1|34: Dragon Attack|2|0: --------|0
Hornetaur Helm β+|9|Head|116|-1|-1|0|0|2|1|4|0|0|0: --------|50: Weakness Exploit|1|34: Dragon Attack|1|0: --------|0
Shamos Goggles α+|9|Head|116|2|2|-3|0|0|2|2|1|0|0: --------|119: Detector|1|100: Geologist|2|0: --------|0
Shamos Goggles β+|9|Head|116|2|2|-3|0|0|2|4|2|0|0: --------|119: Detector|1|100: Geologist|1|0: --------|0
Gastodon Horn α+|9|Head|116|3|0|0|0|0|1|1|0|0|0: --------|104: Flinch Free|2|6: Blast Resistance|1|0: --------|0
