id;level;unlock_skill_1;unlock_skill_2;unlock_skill_3;unlock_skill_4;unlock_skill_5;unlock_skill_6
34: Dragon Attack;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
35: Poison Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
35: Poison Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
35: Poison Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
36: Paralysis Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
36: Paralysis Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
36: Paralysis Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
37: Sleep Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
37: Sleep Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
37: Sleep Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
38: Blast Attack;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
38: Blast Attack;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
38: Blast Attack;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
39: Normal Shots;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
40: Piercing Shots;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
41: Spread/Power Shots;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
42: Poison Functionality;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
43: Para Functionality;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
44: Sleep Functionality;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
46: Blast Functionality;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
47: Free Elem/Ammo Up;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
47: Free Elem/Ammo Up;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
47: Free Elem/Ammo Up;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;6;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
48: Critical Eye;7;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
49: Critical Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
49: Critical Boost;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
49: Critical Boost;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
50: Weakness Exploit;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
50: Weakness Exploit;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
50: Weakness Exploit;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
52: Focus;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
52: Focus;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
52: Focus;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
53: Power Prolonger;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
53: Power Prolonger;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
53: Power Prolonger;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
54: Handicraft;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
54: Handicraft;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
54: Handicraft;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
54: Handicraft;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
54: Handicraft;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
55: Critical Draw;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
55: Critical Draw;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
55: Critical Draw;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
56: Partbreaker;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
56: Partbreaker;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
56: Partbreaker;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
57: Slugger;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
57: Slugger;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
57: Slugger;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
58: Stamina Thief;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
58: Stamina Thief;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
58: Stamina Thief;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
59: Master Mounter;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
60: Airborne;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
61: Latent Power;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
62: Agitator;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
63: Peak Performance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
63: Peak Performance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
63: Peak Performance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
64: Heroics;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
65: Fortify;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
66: Resentment;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
66: Resentment;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
66: Resentment;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
66: Resentment;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
66: Resentment;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
67: Resuscitate;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
68: Horn Maestro;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
69: Capacity Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
70: Special Ammo Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
70: Special Ammo Boost;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
71: Artillery;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
71: Artillery;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
71: Artillery;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
72: Heavy Artillery;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
72: Heavy Artillery;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
73: Marathon Runner;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
73: Marathon Runner;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
73: Marathon Runner;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
74: Constitution;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
74: Constitution;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
74: Constitution;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
74: Constitution;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
74: Constitution;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
75: Leap of Faith;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
76: Stamina Surge;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
76: Stamina Surge;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
76: Stamina Surge;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
77: Hunger Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
77: Hunger Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
77: Hunger Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
78: Evade Window;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
78: Evade Window;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
78: Evade Window;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
78: Evade Window;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
78: Evade Window;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
79: Evade Extender;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
79: Evade Extender;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
79: Evade Extender;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
80: Guard;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
80: Guard;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
80: Guard;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
80: Guard;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
80: Guard;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
81: Quick Sheath;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
81: Quick Sheath;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
81: Quick Sheath;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
82: Wide-Range;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
82: Wide-Range;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
82: Wide-Range;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
82: Wide-Range;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
82: Wide-Range;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
83: Item Prolonger;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
83: Item Prolonger;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
83: Item Prolonger;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
84: Free Meal;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
85: Speed Eating;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
85: Speed Eating;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
85: Speed Eating;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
86: Speed Sharpening;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
86: Speed Sharpening;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
86: Speed Sharpening;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
88: Bombardier;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
88: Bombardier;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
88: Bombardier;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
90: Mushroomancer;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
90: Mushroomancer;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
90: Mushroomancer;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
91: Master Fisher;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
92: BBQ Master;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
93: Pro Transporter;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
94: Master Gatherer;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
95: Honey Hunter;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
96: Carving Pro;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
97: Divine Blessing;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
97: Divine Blessing;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
97: Divine Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
98: Palico Rally;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
98: Palico Rally;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
98: Palico Rally;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
98: Palico Rally;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
98: Palico Rally;5;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
99: Botanist;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
99: Botanist;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
99: Botanist;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
99: Botanist;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
100: Geologist;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
100: Geologist;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
100: Geologist;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
101: Maximum Might;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
101: Maximum Might;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
101: Maximum Might;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
102: Slinger Capacity;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
102: Slinger Capacity;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
102: Slinger Capacity;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
103: Stealth;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
103: Stealth;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
103: Stealth;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
104: Flinch Free;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
104: Flinch Free;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
104: Flinch Free;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
105: Scoutfly Range Up;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
106: Speed Crawler;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
107: Jump Master;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
108: Survival Expert;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
108: Survival Expert;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
108: Survival Expert;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
109: Aquatic/Polar Mobility;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
109: Aquatic/Polar Mobility;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
109: Aquatic/Polar Mobility;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
111: Cliffhanger;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
112: Blindsider;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
114: Scholar;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
115: Entomologist;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
115: Entomologist;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
115: Entomologist;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
116: Effluvia Resistance;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
116: Effluvia Resistance;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
116: Effluvia Resistance;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
117: Scenthound;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
118: Forager's Luck;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
119: Detector;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
120: Tool Specialist;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
120: Tool Specialist;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
120: Tool Specialist;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
122: Affinity Sliding;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
123: Elderseal Boost;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
124: Intimidator;1;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
124: Intimidator;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
124: Intimidator;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
125: Anjanath Power;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
132: Anjanath Will;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
142: Bazelgeuse Protection;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
138: Uragaan Protection;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
153: Odogaron Power;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
154: Odogaron Mastery;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
145: Xeno'jiiva Divinity;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
135: Rathalos Mastery;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
130: Kirin Blessing;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
137: Kirin Favor;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
149: Guild Guidance;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
151: Legiana Blessing;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
152: Legiana Favor;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
150: Commission Guidance;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
147: Zorah Magdaros Mastery;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
128: Rathalos Power;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
135: Rathalos Mastery;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
154: Odogaron Mastery;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
129: Diablos Power;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
136: Diablos Mastery;2;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
152: Legiana Favor;4;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
143: Teostra Technique;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
131: Pink Rathian Mastery;3;0: --------;0: --------;0: --------;0: --------;0: --------;0: --------
